,Year,War Name,War Type & Number
456,1959,Iraq-Shammar War of 1959,Intra-State War #747
457,1959,Rwandan Social Revolution of 1959-1962,Non-State War #1574
458,1960,Vietnam War Phase 1 of 1960-1965,Intra-State War #748
459,1960,First DRC (Zaire) War of 1960-1963,Intra-State War #750
460,1960,First Laotian War of 1960-1962,Intra-State War #751
461,1961,Angolan-Portuguese War of 1961-1974,Extra-State War #469
462,1961,First Iraqi Kurds War of 1961-1963,Intra-State War #752
463,1962,Algerian Revolutionaries War of 1962-1963,Intra-State War #753
464,1962,War in Assam of 1962,Inter-State War #160
465,1962,North Yemen War of 1962-1969,Intra-State War #755
466,1963,Second Laotian War Phase 1 of 1963-1968,Intra-State War #756
467,1963,First Ogaden War of 1963-1964,Intra-State War #757
468,1963,First South Sudan War of 1963-1972,Intra-State War #758
469,1963,Second DRC (Jeunesse) War of 1963-1965,Intra-State War #760
470,1963,First Rwanda War of 1963-1964,Intra-State War #761
471,1964,Third DRC (Simba) Rebellion of 1964-1965,Intra-State War #762
472,1964,Zanzibar Arab-African War of 1964,Intra-State War #763
473,1964,Mozambique-Portuguese War of 1964-1975,Extra-State War #471
474,1965,Vietnam War Phase 2 of 1965-1975,Inter-State War #163
475,1965,Second Iraqi Kurds War of 1965-1966,Intra-State War #765
476,1965,Dominican Republic War of 1965,Intra-State War #766
477,1965,First West Papua War of 1965-1969,Intra-State War #767
478,1965,Second Kashmir War of 1965,Inter-State War #166
479,1966,First Uganda War of 1966,Intra-State War #768
480,1966,First Guatemala War of 1966-1968,Intra-State War #770
481,1966,First Chad (FROLINAT) Rebellion of 1966-1971,Intra-State War #771
482,1967,Cultural Revolution Phase 1 of 1967,Intra-State War #772
483,1967,Six Day War of 1967,Inter-State War #169
484,1967,Third Burmese War of 1967-1980,Intra-State War #773
485,1967,Biafra War of 1967-1970,Intra-State War #775
486,1967,Cultural Revolution Phase 2 of 1967-1968,Intra-State War #776
487,1968,Second Laotian War Phase 2 of 1968-1973,Inter-State War #170
488,1968,Dhofar Rebellion Phase 1 of 1968-1971,Non-State War #1577
489,1969,Third Iraqi Kurds War of 1969-1970,Intra-State War #777
490,1969,War of Attrition of 1969-1970,Inter-State War #172
491,1969,Football War of 1969,Inter-State War #175
492,1970,Naxalite Rebellion of 1970-1971,Intra-State War #778
493,1970,War of the Communist Coalition of 1970-1971,Inter-State War #176
494,1970,Black September War of 1970,Intra-State War #780
495,1970,Second Guatemala War of 1970-1971,Intra-State War #781
496,1971,Pakistan-Bengal War of 1971,Intra-State War #782
497,1971,First Sri Lanka-JVP War of 1971,Intra-State War #783
498,1971,Khmer Rouge War of 1971-1975,Intra-State War #785
499,1971,War for Bangladesh of 1971,Inter-State War #178
500,1972,First Philippine-Moro War of 1972-1981,Intra-State War #786
501,1972,Communist Insurgency of 1972-1973,Intra-State War #787
502,1972,Eritrean Split of 1972-1974,Intra-State War #788
503,1972,First Burundi War of 1972,Intra-State War #789
504,1972,Philippines-NPA War of 1972-1992,Intra-State War #790
505,1972,Rhodesia War of 1972-1979,Intra-State War #791
506,1973,Baluchi Separatists War of 1973-1977,Intra-State War #792
507,1973,Chilean Coup of 1973,Intra-State War #793
508,1973,Yom Kippur War of 1973,Inter-State War #181
509,1973,Dhofar Rebellion Phase 2 of 1973-1975,Intra-State War #795
510,1974,Fourth Iraqi Kurds War of 1974-1975,Intra-State War #797
511,1974,Turco-Cypriot War of 1974,Inter-State War #184
512,1974,Angola Guerilla War of 1974-1975,Non-State War #1581
513,1975,Eritrean War of 1975-1978,Intra-State War #798
514,1975,Argentine Leftists War of 1975-1977,Intra-State War #800
515,1975,Second Lebanese War of 1975-1976,Intra-State War #801
516,1975,East Timorese War Phase 1 of 1975,Non-State War #1582
517,1975,East Timorese War Phase 2 of 1975-1976,Extra-State War #472
518,1975,Namibian War of 1975-1988,Extra-State War #473
519,1975,War over Angola of 1975-1976,Inter-State War #186
520,1975,Western Sahara War of 1975-1983,Extra-State War #474
521,1976,Second West Papua War of 1976-1978,Intra-State War #802
522,1976,Third Laotian War of 1976-1979,Intra-State War #803
523,1976,Angolan Control War of 1976-1991,Intra-State War #804
524,1976,Second Ogaden War Phase 1 of 1976-1977,Intra-State War #805
525,1976,East Timorese War Phase 3 of 1976-1979,Intra-State War #806
526,1977,Second Ogaden War Phase 2 of 1977-1978,Inter-State War #187
527,1977,Vietnamese-Cambodian Border War of 1977-1979,Inter-State War #189
528,1978,Third Lebanese War of 1978,Intra-State War #807
529,1978,Second Ogaden War Phase 3 of 1978-1980,Intra-State War #808
530,1978,Third Guatemala War of 1978-1984,Intra-State War #809
531,1978,Saur Revolution of 1978,Intra-State War #810
532,1978,Fourth DRC (Shaba) War of 1978,Intra-State War #811
533,1978,First Afghan Mujahideen Uprising of 1978-1980,Intra-State War #812
534,1978,Overthrow of the Shah of 1978-1979,Intra-State War #813
535,1978,Sandinista Rebellion of 1978-1979,Intra-State War #815
536,1978,Ugandan-Tanzanian War of 1978-1979,Inter-State War #190
537,1979,Khmer Insurgency of 1979-1989,Extra-State War #475
538,1979,Anti-Khomeini Coalition War of 1979-1984,Intra-State War #816
539,1979,Sino-Vietnamese Punitive War of 1979,Inter-State War #193
540,1979,El Salvador War of 1979-1992,Intra-State War #817
541,1979,Mozambique War of 1979-1992,Intra-State War #818
542,1980,Soviet Quagmire of 1980-1989,Extra-State War #476
543,1980,Second Chad (Habre Revolt) War of 1980-1984,Intra-State War #820
544,1980,Iran-Iraq War of 1980-1988,Inter-State War #199
545,1980,Second Uganda War of 1980-1986,Intra-State War #822
546,1980,Nigeria-Muslim War of 1980-1981,Intra-State War #823
547,1981,Hama War of 1981-1982,Intra-State War #825
548,1982,Tigrean and Eritrean War of 1982-1991,Intra-State War #826
549,1982,Shining Path War of 1982-1992,Intra-State War #827
550,1982,Contra War of 1982-1990,Intra-State War #828
551,1982,Falklands War of 1982,Inter-State War #202
552,1982,War over Lebanon of 1982,Inter-State War #205
553,1983,Matabeleland War of 1983-1987,Intra-State War #831
554,1983,Fourth Burmese War of 1983-1988,Intra-State War #832
555,1983,Fourth Lebanese Civil War of 1983-1984,Intra-State War #833
556,1983,First Sri Lanka Tamil War of 1983-2002,Intra-State War #835
557,1983,Second South Sudan War of 1983-2005,Intra-State War #836
558,1984,Indian Golden Temple War of 1984,Intra-State War #837
559,1984,First Turkish Kurds War of 1984-1986,Intra-State War #838
560,1985,Fifth Iraqi Kurds War of 1985-1988,Intra-State War #840
561,1986,South Yemen War of 1986,Intra-State War #842
562,1986,Holy Spirit Movement War of 1986-1987,Intra-State War #843
563,1986,War over the Aouzou Strip of 1986-1987,Inter-State War #207
564,1987,Sino-Vietnamese Border War of 1987,Inter-State War #208
565,1987,Second Sri Lanka-JVP War of 1987-1989,Intra-State War #845
566,1987,Inkatha-ANC War of 1987-1994,Intra-State War #846
567,1988,Fifth Burmese War of 1988,Intra-State War #847
568,1988,First Somalia War of 1988-1991,Intra-State War #848
569,1989,Fifth Lebanese War of 1989-1990,Intra-State War #850
570,1989,Second Afghan Mujahideen Uprising of 1989-2001,Intra-State War #851
571,1989,Third Chad (Deby Coup) War of 1989-1990,Intra-State War #852
572,1989,First Aceh War of 1989-1991,Intra-State War #853
573,1989,Bougainville Secession War of 1989-1992,Intra-State War #854
574,1989,Eighth Colombian War of 1989-present,Intra-State War #856
575,1989,First Cambodian Civil War of 1989-1991,Intra-State War #857
576,1989,Romania War of 1989,Intra-State War #858
577,1989,The First Liberia War of 1989-1990,Intra-State War #860
578,1990,Gulf War of 1990-1991,Inter-State War #211
579,1990,Kashmir Insurgents War of 1990-2005,Intra-State War #861
580,1991,Shiite and Kurdish War of 1991,Intra-State War #862
581,1991,First Sierra Leone War of 1991-1996,Intra-State War #863
582,1991,Croatian Independence War of 1991-1992,Intra-State War #864
583,1991,Second Turkish Kurds War of 1991-1999,Intra-State War #865
584,1991,First PKK in Iraq of 1991-1992,Extra-State War #477
585,1991,SPLA Division (Dinka-Nuer) War of 1991-1992,Intra-State War #866
586,1991,Jukun-Tiv War of 1991-1992,Intra-State War #868
587,1991,Second Somalia War of 1991-1997,Intra-State War #870
588,1991,Georgia War of 1991-1992,Intra-State War #871
589,1991,Nagorno-Karabakh War of 1991-1993,Intra-State War #872
590,1991,Dniestrian Independence War of 1991-1992,Intra-State War #873
591,1992,Algerian Islamic Front War of 1992-1999,Intra-State War #875
592,1992,War of Bosnian Independence of 1992,Inter-State War #215
593,1992,Tajikistan War of 1992-1997,Intra-State War #876
594,1992,Bosnian-Serb Rebellion of 1992-1995,Intra-State War #877
595,1992,Second Liberia War of 1992-1995,Intra-State War #878
596,1992,Angolan War of Cities of 1992-1994,Intra-State War #880
597,1993,Second Cambodia Civil War of 1993-1997,Intra-State War #881
598,1993,Azeri-Armenian War of 1993-1994,Inter-State War #216
599,1993,Abkhazia Revolt of 1993-1994,Intra-State War #882
600,1993,Second Burundi War of 1993-1998,Intra-State War #883
601,1994,South Yemeni Secessionist War of 1994,Intra-State War #885
602,1994,Second Rwanda War of 1994,Intra-State War #886
603,1994,First Chechnya War of 1994-1996,Intra-State War #888
604,1994,Iraqi Kurd Internecine War of 1994-1995,Intra-State War #890
605,1995,Cenepa Valley War of 1995,Inter-State War #217
606,1995,Croatia-Krajina War of 1995,Intra-State War #891
607,1996,Third Liberia War of 1996,Intra-State War #892
608,1996,Sixth Iraqi Kurds War of 1996,Intra-State War #893
609,1996,Fifth DRC War of 1996-1997,Intra-State War #895
610,1997,Third Rwanda War of 1997-1998,Intra-State War #896
611,1997,Second PKK in Iraq of 1997,Extra-State War #479
612,1997,First Congo Brazzaville War of 1997,Intra-State War #897
613,1998,Second Sierra Leone War of 1998-2000,Intra-State War #898
614,1998,Kosovo Independence War of 1998-1999,Intra-State War #900
615,1998,Badme Border War of 1998-2000,Inter-State War #219
616,1998,Guinea-Bissau Military War of 1998-1999,Intra-State War #902
617,1998,Africa's World War of 1998-2002,Intra-State War #905
618,1998,Fourth Chad (Togoimi Revolt) War of 1998-2000,Intra-State War #906
619,1998,Third Angolan War of 1998-2002,Intra-State War #907
620,1998,Second Congo (Brazzaville) War of 1998-1999,Intra-State War #908
621,1999,Moluccas Sectarian War of 1999-2000,Intra-State War #910
622,1999,War for Kosovo of 1999,Inter-State War #221
623,1999,First Nigeria Christian-Muslim War of 1999-2000,Intra-State War #911
624,1999,Second Aceh War of 1999-2002,Intra-State War #912
625,1999,Kargil War of 1999,Inter-State War #223
626,1999,Oromo Liberation War of 1999,Intra-State War #913
627,1999,Hema-Lendu War of 1999-2005,Non-State War #1594
628,1999,Second Chechnya War of 1999-2003,Intra-State War #915
629,2000,Second Philippine-Moro War of 2000-2001,Intra-State War #916
630,2000,Guinean War of 2000-2001,Intra-State War #917
631,2000,Al Aqsa Intifada of 2000-2003,Extra-State War #480
632,2001,Third Burundi War of 2001-2003,Intra-State War #918
633,2001,Fourth Rwanda War of 2001,Intra-State War #920
634,2001,Invasion of Afghanistan of 2001,Inter-State War #225
635,2001,First Nepal Maoist Insurgency of 2001-2003,Intra-State War #921
636,2001,Afghan Resistance of 2001-present,Extra-State War #481
637,2002,Fourth Liberia War of 2002-2003,Intra-State War #922
638,2002,Ethiopian Anyuaa-Nuer War of 2002-2003,Intra-State War #923
639,2002,Cote d'Ivoire Military War of 2002-2004,Intra-State War #925
640,2003,Third Philippine-Moro War of 2003,Intra-State War #926
641,2003,Darfur War of 2003-2006,Intra-State War #927
642,2003,Invasion of Iraq of 2003,Inter-State War #227
643,2003,Iraqi Resistance of 2003-present,Extra-State War #482
644,2003,Third Aceh War of 2003-2004,Intra-State War #930
645,2003,Second Nepal Maoists War of 2003-2006,Intra-State War #931
646,2004,Waziristan War of 2004-2006,Intra-State War #932
647,2004,Second Nigeria Christian-Muslim War of 2004,Intra-State War #933
648,2004,First Yemeni Cleric War of 2004-2005,Intra-State War #935
649,2005,Philippine Joint Offensive of 2005-2006,Intra-State War #936
650,2005,Fifth Chad War of 2005-2006,Intra-State War #937
651,2006,Third Somalia War of 2006-2008,Intra-State War #938
652,2006,Second Sri Lanka Tamil War of 2006-present,Intra-State War #940
653,2007,Second Yemeni Cleric War of 2007,Intra-State War #941
