year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,worldpop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,totalpct,totregpct,version
1955,Africa,"4,014,921","802,667","7,272,036","753,661","6,094,033","18,937,318",0,0,0,"117,741","117,741",0,0,0,0,0,0,"6,002,686","6,002,686",0,0,707,707,0,"278,538","2,457",0,"7,593",0,0,0,"1,139","9,419,390","53,634","103,797","34,871,366","34,925,000","2,536,000,000",0.115,0.023,0.2082,0.0216,0.1745,0.5422,0,0,0,0.0034,0.0034,0,0,0,0,0,0,0.1719,0.1719,0,0,0,0,0,0.008,0.0001,0,0.0002,0,0,0,0,0.2697,0.0015,0.003,0.9985,1,0.0138,1.1
1955,Asia,"12,638,476","34,806,115","1,254,956","3,824,355","6,443,511","58,967,413",0,0,0,"81,070","81,070","8,658,503","1,000,000",0,0,0,0,"201,064,244","210,722,747",0,"33,522,360","144,441,261","177,963,621","126,582","328,331,380","6,342,714","68,145,114","738,141","1,182,738","1,619,287","2,785,120","378,770,746","82,851,650","161,895,190","1,402,045","1,320,030,368","1,436,233,000","2,536,000,000",0.0088,0.0242,0.0009,0.0027,0.0045,0.0411,0,0,0,0.0001,0.0001,0.006,0.0007,0,0,0,0,0.14,0.1467,0,0.0233,0.1006,0.1239,0.0001,0.2286,0.0044,0.0474,0.0005,0.0008,0.0011,0.0019,0.2637,0.0577,0.1127,0.001,0.9191,1.0318,0.5663,1.1
1955,Europe,"85,570,895","223,576,835","96,120,344","29,306,649","6,597,713","441,172,436",0,0,0,"5,178,671","5,178,671",0,0,0,0,0,0,"33,390,170","33,390,170",0,0,"806,776","806,776",0,"93,684","57,446",0,"15,068",0,"1,375",0,"26,391","1,189,903","118,537,427","3,246,653","485,178,573","603,716,000","2,536,000,000",0.1417,0.3703,0.1592,0.0485,0.0109,0.7308,0,0,0,0.0086,0.0086,0,0,0,0,0,0,0.0553,0.0553,0,0,0.0013,0.0013,0,0.0002,0.0001,0,0,0,0,0,0,0.002,0.1963,0.0054,0.8037,1,0.2381,1.1
1955,Mideast,"32,782","1,740,329","3,202,941",0,"678,049","5,654,101","1,509,000","9,001","6,001","442,397","1,966,399","70,224,037","23,256,503",0,0,"445,582",0,"27,552","93,953,674",0,0,0,0,"14,180",0,0,0,0,0,0,0,"5,588",0,270,"1,135,788","102,729,730","102,730,000","2,536,000,000",0.0003,0.0169,0.0312,0,0.0066,0.055,0.0147,0.0001,0.0001,0.0043,0.0191,0.6836,0.2264,0,0,0.0043,0,0.0003,0.9146,0,0,0,0,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0.0111,1,1,0.0405,1.1
1955,West. Hem,"87,090,264","213,452,184","3,811,061","4,292,907","2,624,418","311,270,834","987,432","1,644,006","2,219,240","791,645","5,642,323",0,0,0,0,0,0,"2,730","2,730",0,0,"613,095","613,095",0,"1,003","5,000",0,500,0,0,"171,199","6,898,286","250,001","23,641,928","15,490,767","340,345,738","358,220,000","2,536,000,000",0.2431,0.5959,0.0106,0.012,0.0073,0.8689,0.0028,0.0046,0.0062,0.0022,0.0158,0,0,0,0,0,0,0,0,0,0,0.0017,0.0017,0,0,0,0,0,0,0,0.0005,0.0193,0.0007,0.066,0.0432,0.9501,1.0161,0.1413,1.1
1960,Africa,"13,038,381","14,074,508","8,239,314","3,033,366","23,172,234","61,557,803",0,0,0,"138,994","138,994","4,990,792",0,0,0,0,0,"37,917,444","42,908,236",0,0,"3,416","3,416",0,"363,925","2,971",0,"157,462",0,0,0,"4,646","42,355,767","265,053","1,047,727","148,540,947","148,806,000","2,921,000,000",0.0876,0.0946,0.0554,0.0204,0.1557,0.4137,0,0,0,0.0009,0.0009,0.0335,0,0,0,0,0,0.2548,0.2884,0,0,0,0,0,0.0024,0,0,0.0011,0,0,0,0,0.2846,0.0018,0.007,0.9982,1,0.0509,1.1
1960,Asia,"17,884,779","41,601,765","1,518,027","4,071,747","9,108,298","74,184,616",0,0,0,"80,005","80,005","9,537,389","1,000,000",0,0,0,0,"229,633,620","240,171,009",0,"16,766,250","179,897,730","196,663,980","170,443","360,471,285","7,980,296","71,357,167","899,468","1,357,348","2,029,510","3,251,560","317,448,262","89,171,314","278,617,080","2,879,327","1,368,115,590","1,594,029,976","2,921,000,000",0.0112,0.0261,0.001,0.0026,0.0057,0.0465,0,0,0,0.0001,0.0001,0.006,0.0006,0,0,0,0,0.1441,0.1507,0,0.0105,0.1129,0.1234,0.0001,0.2261,0.005,0.0448,0.0006,0.0009,0.0013,0.002,0.1991,0.0559,0.1748,0.0018,0.8583,1.0331,0.5457,1.1
1960,Europe,"86,615,387","232,373,678","102,354,051","29,372,814","7,610,228","458,326,158",0,0,0,"5,068,023","5,068,023",0,0,0,0,0,0,"35,477,503","35,477,503",0,0,"853,421","853,421",0,"142,373","104,871",0,"21,419",0,"2,250",0,"37,975","1,141,720","133,709,658","4,580,629","505,756,342","639,466,000","2,921,000,000",0.1354,0.3634,0.1601,0.0459,0.0119,0.7167,0,0,0,0.0079,0.0079,0,0,0,0,0,0,0.0555,0.0555,0,0,0.0013,0.0013,0,0.0002,0.0002,0,0,0,0,0,0.0001,0.0018,0.2091,0.0072,0.7909,1,0.2189,1.1
1960,Mideast,"23,416","1,627,382","2,292,182",0,"1,530,960","5,473,940","1,794,474","10,875","7,250","322,686","2,135,285","89,797,203","26,174,803",0,0,"521,848",0,"20,950","116,514,804",0,0,0,0,0,0,0,0,"200,000",0,0,0,0,"2,800,000",277,"1,762,694","128,886,723","128,887,000","2,921,000,000",0.0002,0.0126,0.0178,0,0.0119,0.0425,0.0139,0.0001,0.0001,0.0025,0.0166,0.6967,0.2031,0,0,0.004,0,0.0002,0.904,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0.0217,0,0.0137,1,1,0.0441,1.1
1960,West. Hem,"102,731,807","252,280,539","3,864,535","5,368,773","3,179,424","367,425,078","1,024,373","1,706,028","2,293,155","1,282,993","6,306,549",0,0,0,0,0,0,"51,536","51,536",0,0,"2,918,342","2,918,342",0,"191,584",0,0,0,0,0,"342,398","7,525,200","300,000","22,037,603","8,634,058","393,694,745","409,598,148","2,921,000,000",0.2508,0.6159,0.0094,0.0131,0.0078,0.897,0.0025,0.0042,0.0056,0.0031,0.0154,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0071,0.0071,0,0.0005,0,0,0,0,0,0.0008,0.0184,0.0007,0.0538,0.0211,0.9612,1.015,0.1402,1.1
