year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,worldpop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,totalpct,totregpct,version
1975,Africa,"31,997,004","52,803,680","12,815,275","8,543,658","49,058,004","155,217,621",0,0,0,"178,015","178,015","8,749,390",0,0,0,0,0,"71,486,936","80,236,326",0,0,"19,123","19,123",419,"1,112,884","28,132",0,"854,583",0,"37,726","3,230","22,758","64,493,395","930,997","1,808,791","304,013,003","304,944,000","4,023,000,000",0.1049,0.1732,0.042,0.028,0.1609,0.509,0,0,0,0.0006,0.0006,0.0287,0,0,0,0,0,0.2344,0.2631,0,0,0.0001,0.0001,0,0.0036,0.0001,0,0.0028,0,0.0001,0,0.0001,0.2115,0.0031,0.0059,0.9969,1,0.0758,1.1
1975,Asia,"33,137,903","62,221,703","2,181,466","5,038,932","33,485,408","136,065,411",0,0,0,"158,067","158,067","79,435,094","1,557,800",0,0,0,0,"267,723,211","348,716,105",0,"22,929,200","235,072,380","258,001,580","163,963","486,416,662","12,236,052","85,416,048","1,410,128","2,845,907","2,898,371","5,167,140","363,792,820","99,482,806","476,180,772","6,244,193","1,809,015,253","2,217,498,000","4,023,000,000",0.0149,0.0281,0.001,0.0023,0.0151,0.0614,0,0,0,0.0001,0.0001,0.0358,0.0007,0,0,0,0,0.1207,0.1573,0,0.0103,0.106,0.1163,0.0001,0.2194,0.0055,0.0385,0.0006,0.0013,0.0013,0.0023,0.1641,0.0449,0.2147,0.0028,0.8158,1.0305,0.5512,1.1
1975,Europe,"86,306,803","254,101,668","111,135,093","28,854,249","12,430,347","492,828,160",0,0,0,"4,711,084","4,711,084",0,0,0,0,0,0,"39,403,622","39,403,622",0,0,"1,008,216","1,008,216",448,"347,975","204,859",0,"53,174",0,"5,883","2,753","62,559","759,215","177,802,241","11,223,811","550,611,759","728,414,000","4,023,000,000",0.1185,0.3488,0.1526,0.0396,0.0171,0.6766,0,0,0,0.0065,0.0065,0,0,0,0,0,0,0.0541,0.0541,0,0,0.0014,0.0014,0,0.0005,0.0003,0,0.0001,0,0,0,0.0001,0.001,0.2441,0.0154,0.7559,1,0.1811,1.1
1975,Mideast,"79,351","2,331,935","3,940,450","144,271","1,208,607","7,704,614","2,663,460","177,564","118,376","151,850","3,111,250","150,768,820","42,815,413","420,500",0,"924,465",700,"40,000","194,969,898",0,0,"2,083","2,083","14,254",0,0,0,"3,227",0,0,0,0,"3,348,710","71,656","1,661,308","210,815,344","210,887,000","4,023,000,000",0.0004,0.0111,0.0187,0.0007,0.0057,0.0365,0.0126,0.0008,0.0006,0.0007,0.0148,0.7149,0.203,0.002,0,0.0044,0,0.0002,0.9245,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.0159,0.0003,0.0079,0.9997,1,0.0524,1.1
1975,West. Hem,"113,336,668","376,866,912","7,120,000","5,572,228","5,404,995","508,300,803","1,246,639","2,076,093","2,792,554","1,640,846","7,756,132",0,0,0,0,0,"2,000","346,397","348,397",0,0,"1,293,282","1,293,282",0,"744,286","8,827",500,"285,941","49,389",400,"1,800","8,466,016","531,153","35,446,166","5,862,582","533,649,508","560,925,800","4,023,000,000",0.2021,0.6719,0.0127,0.0099,0.0096,0.9062,0.0022,0.0037,0.005,0.0029,0.0138,0,0,0,0,0,0,0.0006,0.0006,0,0,0.0023,0.0023,0,0.0013,0,0,0.0005,0.0001,0,0,0.0151,0.0009,0.0632,0.0105,0.9514,1.0146,0.1394,1.1
1980,Africa,"38,564,080","63,116,530","15,909,839","11,091,270","58,423,306","187,105,025",0,0,0,"203,504","203,504","10,695,000",0,0,0,0,"1,414,940","84,215,261","96,325,201",0,0,"24,583","24,583",494,"1,245,049","30,173",0,"1,007,119",0,"42,620","6,460","25,760","65,021,806","1,416,658","3,275,548","354,313,342","355,730,000","4,413,000,000",0.1084,0.1774,0.0447,0.0312,0.1642,0.526,0,0,0,0.0006,0.0006,0.0301,0,0,0,0,0.004,0.2367,0.2708,0,0,0.0001,0.0001,0,0.0035,0.0001,0,0.0028,0,0.0001,0,0.0001,0.1828,0.004,0.0092,0.996,1,0.0806,1.1
1980,Asia,"32,223,395","70,791,416","2,068,207","5,198,237","44,443,249","154,724,504",0,0,0,"96,410","96,410","91,324,970","2,346,390",0,0,0,"144,000","189,711,767","283,527,127",0,"30,400,850","265,217,256","295,618,106","160,982","534,285,058","14,023,819","89,429,228","1,622,880","3,748,065","3,206,898","5,455,525","388,806,341","95,188,371","507,413,215","10,074,959","1,879,968,273","2,313,547,024","4,413,000,000",0.0139,0.0306,0.0009,0.0022,0.0192,0.0669,0,0,0,0,0,0.0395,0.001,0,0,0,0.0001,0.082,0.1226,0,0.0131,0.1146,0.1278,0.0001,0.2309,0.0061,0.0387,0.0007,0.0016,0.0014,0.0024,0.1681,0.0411,0.2193,0.0044,0.8126,1.0319,0.5243,1.1
1980,Europe,"84,545,280","259,260,904","110,595,090","27,691,350","14,947,256","497,039,880",0,0,0,"4,527,066","4,527,066",0,0,0,0,0,"14,540","40,597,297","40,611,837",0,0,"1,064,453","1,064,453",485,"452,955","210,000",0,"69,093",0,"7,765","4,502","62,972","471,016","192,888,938","12,668,376","557,190,400","750,079,338","4,413,000,000",0.1127,0.3456,0.1474,0.0369,0.0199,0.6626,0,0,0,0.006,0.006,0,0,0,0,0,0,0.0541,0.0541,0,0,0.0014,0.0014,0,0.0006,0.0003,0,0.0001,0,0,0,0.0001,0.0006,0.2572,0.0169,0.7428,1,0.17,1.1
1980,Mideast,"181,143","2,429,312","4,084,171","193,984","3,913,986","10,802,596","2,954,430","196,962","131,308","125,703","3,408,403","173,218,873","48,209,839","668,250",0,"1,148,480","1,750","206,830","223,454,022",0,0,"9,566","9,566","30,500","31,300","3,800",0,"355,901",0,0,0,"3,000","3,371,320","235,999","2,292,593","243,763,001","243,999,000","4,413,000,000",0.0007,0.01,0.0167,0.0008,0.016,0.0443,0.0121,0.0008,0.0005,0.0005,0.014,0.7099,0.1976,0.0027,0,0.0047,0,0.0008,0.9158,0,0,0,0,0.0001,0.0001,0,0,0.0015,0,0,0,0,0.0138,0.001,0.0094,0.999,1,0.0553,1.1
1980,West. Hem,"123,448,293","403,236,567","5,245,120","6,918,519","3,558,105","542,406,604","1,346,562","2,242,154","3,022,479","1,760,417","8,371,612","2,565,521","271,683",0,0,0,"9,255","374,831","3,221,290",0,0,"1,685,408","1,685,408",0,"1,580,032","9,064",0,"150,056","127,687",800,"3,600","9,519,133","1,576,665","35,846,456","6,719,573","575,371,524","602,026,000","4,413,000,000",0.2051,0.6698,0.0087,0.0115,0.0059,0.901,0.0022,0.0037,0.005,0.0029,0.0139,0.0043,0.0005,0,0,0,0,0.0006,0.0054,0,0,0.0028,0.0028,0,0.0026,0,0,0.0002,0.0002,0,0,0.0158,0.0026,0.0595,0.0112,0.9557,1.0153,0.1364,1.1
1985,Africa,"51,004,398","73,386,870","19,054,140","17,519,220","67,694,251","228,658,879",0,0,0,"164,828","164,828","14,060,500",0,0,0,0,0,"111,832,184","125,892,684",0,0,"72,574","72,574",607,"1,463,736","37,537",0,"1,074,228",0,"49,895","9,691","43,652","69,685,451","2,149,016","3,141,222","430,294,984","432,444,000","4,834,000,000",0.1179,0.1697,0.0441,0.0405,0.1565,0.5288,0,0,0,0.0004,0.0004,0.0325,0,0,0,0,0,0.2586,0.2911,0,0,0.0002,0.0002,0,0.0034,0.0001,0,0.0025,0,0.0001,0,0.0001,0.1611,0.005,0.0073,0.995,1,0.0895,1.1
1985,Asia,"40,205,810","79,653,394","2,656,902","5,229,835","47,278,573","175,024,514",0,0,0,"100,490","100,490","101,175,272","2,038,550",0,0,0,0,"210,059,512","313,273,334",0,"36,232,325","298,230,177","334,462,502","262,761","598,009,426","14,651,868","92,520,741","1,978,767","4,625,986","3,508,357","1,153,085","425,483,823","90,948,268","542,261,654","5,394,112","2,061,398,034","2,525,823,952","4,834,000,000",0.0159,0.0315,0.0011,0.0021,0.0187,0.0693,0,0,0,0,0,0.0401,0.0008,0,0,0,0,0.0832,0.124,0,0.0143,0.1181,0.1324,0.0001,0.2368,0.0058,0.0366,0.0008,0.0018,0.0014,0.0005,0.1685,0.036,0.2147,0.0021,0.8161,1.0308,0.5225,1.1
1985,Europe,"82,115,850","260,592,119","109,218,297","26,909,075","17,622,140","496,457,481",0,0,0,"4,364,409","4,364,409",0,0,0,0,0,0,"42,150,125","42,150,125",0,0,"1,086,688","1,086,688",523,"474,973","217,500",0,"72,559",0,"9,648","6,251","89,957","713,756","210,577,941","13,254,594","558,898,464","769,476,405","4,834,000,000",0.1067,0.3387,0.1419,0.035,0.0229,0.6452,0,0,0,0.0057,0.0057,0,0,0,0,0,0,0.0548,0.0548,0,0,0.0014,0.0014,0,0.0006,0.0003,0,0.0001,0,0,0,0.0001,0.0009,0.2737,0.0172,0.7263,1,0.1592,1.1
1985,Mideast,"205,699","2,614,480","4,772,352","214,410","3,380,557","11,187,498","3,165,480","211,032","140,688","113,374","3,630,574","200,174,588","60,295,362","899,500",0,"1,202,490",0,"258,440","262,830,380",0,0,"35,000","35,000",0,"82,000","15,000",0,"7,950",0,0,0,"9,000","4,265,733","22,000","3,443,865","285,507,000","285,529,000","4,834,000,000",0.0007,0.0092,0.0167,0.0008,0.0118,0.0392,0.0111,0.0007,0.0005,0.0004,0.0127,0.7011,0.2112,0.0032,0,0.0042,0,0.0009,0.9205,0,0,0.0001,0.0001,0,0.0003,0.0001,0,0,0,0,0,0,0.0149,0.0001,0.0121,0.9999,1,0.0591,1.1
1985,West. Hem,"131,529,564","449,070,083","5,733,362","6,779,340","2,478,330","595,590,679","1,414,994","2,255,910","3,179,436","1,672,354","8,522,694","2,378,204","319,464",0,0,0,0,"284,400","2,982,068",0,0,"2,013,925","2,013,925",0,"1,592,400",0,0,"46,920","1,950",0,0,"10,002,600","453,731","33,185,698","11,139,356","632,346,323","655,792,000","4,834,000,000",0.2006,0.6848,0.0087,0.0103,0.0038,0.9082,0.0022,0.0034,0.0048,0.0026,0.013,0.0036,0.0005,0,0,0,0,0.0004,0.0045,0,0,0.0031,0.0031,0,0.0024,0,0,0.0001,0,0,0,0.0153,0.0007,0.0506,0.017,0.9642,1.0149,0.1357,1.1
1990,Africa,"64,190,743","86,230,560","21,345,712","24,530,704","69,195,730","265,493,449",0,0,0,"142,152","142,152","19,006,292","55,294",0,0,0,0,"116,352,402","135,413,988",0,0,"100,263","100,263",720,"1,762,136","44,358",0,"1,150,689",0,"57,010","11,306","57,936","73,843,670","2,896,489","2,848,834","480,926,511","483,823,000","5,313,000,000",0.1327,0.1782,0.0441,0.0507,0.143,0.5487,0,0,0,0.0003,0.0003,0.0393,0.0001,0,0,0,0,0.2405,0.2799,0,0,0.0002,0.0002,0,0.0036,0.0001,0,0.0024,0,0.0001,0,0.0001,0.1526,0.006,0.0059,0.994,1,0.0911,1.1
1990,Asia,"57,440,648","97,213,932","3,244,879","4,869,140","59,802,501","222,571,100",0,0,0,"104,493","104,493","270,317,060","4,264,900",0,0,0,0,"234,213,938","508,795,898",0,"39,303,150","332,095,860","371,399,010","314,540","656,018,252","18,621,706","94,546,096","2,301,416","5,460,945","3,809,813","1,279,073","459,167,251","103,439,157","561,364,124","8,298,871","2,456,127,621","2,937,844,992","5,313,000,000",0.0196,0.0331,0.0011,0.0017,0.0204,0.0758,0,0,0,0,0,0.092,0.0015,0,0,0,0,0.0797,0.1732,0,0.0134,0.113,0.1264,0.0001,0.2233,0.0063,0.0322,0.0008,0.0019,0.0013,0.0004,0.1563,0.0352,0.1911,0.0028,0.836,1.0271,0.553,1.1
1990,Europe,"104,482,885","288,130,151","108,099,811","26,146,960","20,767,737","547,627,544",0,0,0,"4,094,416","4,094,416",0,0,0,0,0,0,"43,630,843","43,630,843",0,0,"1,260,132","1,260,132",610,"545,390","228,000",0,"100,313",0,"11,531","9,900","243,791","970,327","236,076,477","11,143,445","609,866,242","845,942,719","5,313,000,000",0.1235,0.3406,0.1278,0.0309,0.0245,0.6474,0,0,0,0.0048,0.0048,0,0,0,0,0,0,0.0516,0.0516,0,0,0.0015,0.0015,0,0.0006,0.0003,0,0.0001,0,0,0,0.0003,0.0011,0.2791,0.0132,0.7209,1,0.1592,1.1
1990,Mideast,"818,833","4,910,719","7,744,332","325,884","2,272,383","16,072,151","3,350,310","184,083","147,266","64,729","3,746,388","224,829,822","73,787,108","1,095,087",0,"9,123,315",0,"120,000","308,955,332",0,0,"114,686","114,686","500,030","318,199","48,899",0,"224,304",0,0,0,"28,966","3,276,509","1,641,499","3,027,037","336,312,501","337,954,000","5,313,000,000",0.0024,0.0145,0.0229,0.001,0.0067,0.0476,0.0099,0.0005,0.0004,0.0002,0.0111,0.6653,0.2183,0.0032,0,0.027,0,0.0004,0.9142,0,0,0.0003,0.0003,0.0015,0.0009,0.0001,0,0.0007,0,0,0,0.0001,0.0097,0.0049,0.009,0.9951,1,0.0636,1.1
1990,West. Hem,"164,839,479","452,042,394","7,536,184","8,081,365","10,817,553","643,316,975","1,045,005","1,742,000","2,310,987","1,684,106","6,782,098","2,244,386","300,371",0,0,0,0,"339,500","2,884,257",0,0,"2,373,664","2,373,664","62,501","1,205,851","258,517","61,724","1,288,261","423,888","6,410",0,"9,701,954","652,668","36,292,691","10,963,922","679,982,690","707,106,969","5,313,000,000",0.2331,0.6393,0.0107,0.0114,0.0153,0.9098,0.0015,0.0025,0.0033,0.0024,0.0096,0.0032,0.0004,0,0,0,0,0.0005,0.0041,0,0,0.0034,0.0034,0.0001,0.0017,0.0004,0.0001,0.0018,0.0006,0,0,0.0137,0.0009,0.0513,0.0155,0.9616,1.013,0.1331,1.1
1995,Africa,"79,905,787","105,118,187","24,093,088","29,167,586","76,505,476","314,790,124",0,0,0,"121,360","121,360","20,999,665","100,790",0,0,0,0,"142,495,298","163,595,753",0,0,"66,300","66,300",782,"1,317,227","40,993",0,"1,246,159",0,"61,627",0,"48,635","74,918,182","5,092,209","4,358,649","560,565,791","565,658,000","5,670,000,000",0.1413,0.1858,0.0426,0.0516,0.1353,0.5565,0,0,0,0.0002,0.0002,0.0371,0.0002,0,0,0,0,0.2519,0.2892,0,0,0.0001,0.0001,0,0.0023,0.0001,0,0.0022,0,0.0001,0,0.0001,0.1324,0.009,0.0077,0.991,1,0.0998,1.1
1995,Asia,"66,184,385","109,255,711","11,265,805","5,317,003","67,756,209","259,779,112",0,0,0,"195,111","195,111","445,529,796","25,290,656",0,0,0,"200,000","135,147,937","606,168,389",0,"41,223,800","366,985,753","408,209,553","247,242","717,365,785","18,492,938","96,076,062","2,435,313","6,283,673","4,014,448","1,223,947","492,135,244","112,240,465","574,222,830","11,549,727","2,736,417,009","3,228,425,512","5,670,000,000",0.0205,0.0338,0.0035,0.0016,0.021,0.0805,0,0,0,0.0001,0.0001,0.138,0.0078,0,0,0,0.0001,0.0419,0.1878,0,0.0128,0.1137,0.1264,0.0001,0.2222,0.0057,0.0298,0.0008,0.0019,0.0012,0.0004,0.1524,0.0348,0.1779,0.0036,0.8476,1.0255,0.5694,1.1
1995,Europe,"70,685,728","258,950,188","131,764,854","26,230,600","24,375,882","512,007,252",0,0,0,"2,565,349","2,565,349","3,784,461","4,747,438",0,0,0,0,"33,010,394","41,542,293",0,0,"1,497,063","1,497,063",731,"699,215","294,718",0,"129,783",0,"13,413","9,562","302,461","1,232,015","176,181,859","9,476,286","569,770,141","745,952,000","5,670,000,000",0.0948,0.3471,0.1766,0.0352,0.0327,0.6864,0,0,0,0.0034,0.0034,0.0051,0.0064,0,0,0,0,0.0443,0.0557,0,0,0.002,0.002,0,0.0009,0.0004,0,0.0002,0,0,0,0.0004,0.0017,0.2362,0.0127,0.7638,1,0.1316,1.1
1995,Mideast,"1,011,208","5,202,572","8,372,389","417,230","2,020,163","17,023,562","4,140,045","227,475","181,980","88,874","4,638,374","241,259,390","86,131,745","1,229,556",0,"11,824,580",0,"250,400","340,695,671",0,0,0,0,"472,500","4,791","1,166",0,"278,675",0,0,0,0,"3,534,249","323,129","7,143,883","373,792,871","374,116,000","5,670,000,000",0.0027,0.0139,0.0224,0.0011,0.0054,0.0455,0.0111,0.0006,0.0005,0.0002,0.0124,0.6449,0.2302,0.0033,0,0.0316,0,0.0007,0.9107,0,0,0,0,0.0013,0,0,0,0.0007,0,0,0,0,0.0094,0.0009,0.0191,0.9991,1,0.066,1.1
1995,West. Hem,"167,722,189","484,088,201","7,364,578","7,948,471","14,691,480","681,814,919","1,003,301","1,672,940","2,210,662","1,665,209","6,552,112","2,246,832","303,545",0,0,0,0,"438,123","2,988,500",0,0,"2,182,414","2,182,414","765,727","1,481,887","245,269","60,945","757,649","237,633","6,684","40,478","10,533,280","981,414","46,460,699","9,375,141","718,024,052","754,990,021","5,670,000,000",0.2222,0.6412,0.0098,0.0105,0.0195,0.9031,0.0013,0.0022,0.0029,0.0022,0.0087,0.003,0.0004,0,0,0,0,0.0006,0.004,0,0,0.0029,0.0029,0.001,0.002,0.0003,0.0001,0.001,0.0003,0,0.0001,0.014,0.0013,0.0615,0.0124,0.951,1.0126,0.1332,1.1
2000,Africa,"93,403,462","119,734,890","28,207,100","32,521,170","62,890,027","336,756,649",0,0,0,"104,482","104,482","178,749,834","9,545,726",0,0,0,0,"207,762","188,503,322",0,0,"142,869","142,869",845,"1,902,086","53,080",0,"1,083,236",0,"69,013",0,"77,232","78,607,573","5,809,663","5,854,951","613,155,338","618,965,000","6,077,000,000",0.1509,0.1934,0.0456,0.0525,0.1016,0.5441,0,0,0,0.0002,0.0002,0.2888,0.0154,0,0,0,0,0.0003,0.3045,0,0,0.0002,0.0002,0,0.0031,0.0001,0,0.0018,0,0.0001,0,0.0001,0.127,0.0094,0.0095,0.9906,1,0.1019,1.1
2000,Asia,"99,313,991","111,594,438","10,333,466","5,166,213","30,483,936","256,892,044",0,0,0,"148,450","148,450","622,088,650","51,736,919",0,0,0,"500,000","23,364,060","697,689,629","4,130,422","113,240,351","264,339,459","381,710,232","84,816","870,077,984","19,356,059","97,027,500","2,148,598","9,749,928","4,231,099","3,735,637","549,045,116","77,705,808","584,748,329","5,859,144","2,975,462,044","3,488,405,040","6,077,000,000",0.0285,0.032,0.003,0.0015,0.0087,0.0736,0,0,0,0,0,0.1783,0.0148,0,0,0,0.0001,0.0067,0.2,0.0012,0.0325,0.0758,0.1094,0,0.2494,0.0055,0.0278,0.0006,0.0028,0.0012,0.0011,0.1574,0.0223,0.1676,0.0017,0.853,1.0206,0.574,1.1
2000,Europe,"69,356,298","252,170,341","209,425,163","22,751,244","17,404,399","571,107,445",0,0,0,"2,243,767","2,243,767","36,589,221","5,201,755",0,0,0,0,"5,938,865","47,729,841",0,0,"3,099,355","3,099,355","4,782","764,336","396,383",0,"77,628",36,"15,296",0,"129,943","78,139","113,729,094","6,220,838","631,867,789","745,596,883","6,077,000,000",0.093,0.3382,0.2809,0.0305,0.0233,0.766,0,0,0,0.003,0.003,0.0491,0.007,0,0,0,0,0.008,0.064,0,0,0.0042,0.0042,0,0.001,0.0005,0,0.0001,0,0,0,0.0002,0.0001,0.1525,0.0083,0.8475,1,0.1227,1.1
2000,Mideast,"1,320,096","5,009,970","9,124,040","9,467","1,215,280","16,678,853","4,471,831","245,705","196,564","41,977","4,956,077","275,058,426","87,053,540","1,360,367",0,"12,568,650","36,000",0,"376,076,983",0,0,"88,823","88,823","445,000","1,141,268","15,420",0,"142,471",0,0,0,0,"5,898,000","1,775,785","2,563,620","408,006,515","409,782,300","6,077,000,000",0.0032,0.0122,0.0223,0,0.003,0.0407,0.0109,0.0006,0.0005,0.0001,0.0121,0.6712,0.2124,0.0033,0,0.0307,0.0001,0,0.9177,0,0,0.0002,0.0002,0.0011,0.0028,0,0,0.0003,0,0,0,0,0.0144,0.0043,0.0063,0.9957,1,0.0674,1.1
2000,West. Hem,"180,216,747","490,124,294","7,266,522","7,843,167","24,037,463","709,488,193","961,597","1,603,882","2,110,338","1,317,719","5,993,536","2,501,568","334,752",0,0,0,0,"1,212,145","4,048,465","808,358",0,"2,406,419","3,214,777","1,468,955","1,720,060","232,021","161,765","628,141","50,238","6,959","81,105","13,592,264","4,457,945","76,349,251","13,043,974","758,188,398","823,033,224","6,077,000,000",0.219,0.5955,0.0088,0.0095,0.0292,0.862,0.0012,0.0019,0.0026,0.0016,0.0073,0.003,0.0004,0,0,0,0,0.0015,0.0049,0.001,0,0.0029,0.0039,0.0018,0.0021,0.0003,0.0002,0.0008,0.0001,0,0.0001,0.0165,0.0054,0.0928,0.0158,0.9212,1.014,0.1354,1.1
2005,Africa,"113,662,262","143,240,680","32,751,099","34,399,221","72,948,696","397,001,958",0,0,0,"105,776","105,776","202,118,074","10,758,965",0,0,0,0,"248,681","213,125,720",0,0,"182,161","182,161",838,"2,118,924","61,177",0,"1,082,939",31,"73,053","10,004","84,834","79,035,014","7,178,005","3,562,566","696,444,995","703,623,000","6,436,000,000",0.1615,0.2036,0.0465,0.0489,0.1037,0.5642,0,0,0,0.0002,0.0002,0.2873,0.0153,0,0,0,0,0.0004,0.3029,0,0,0.0003,0.0003,0,0.003,0.0001,0,0.0015,0,0.0001,0,0.0001,0.1123,0.0102,0.0051,0.9898,1,0.1093,1.1
2005,Asia,"102,910,261","121,326,959","9,704,939","5,492,661","35,840,274","275,275,093",0,0,0,"127,286","127,286","659,270,884","53,399,804",0,0,0,"543,367","36,207,787","749,421,842","13,240,607","156,829,163","296,031,348","466,101,118","91,049","940,599,251","20,940,691","107,029,655","2,306,979","12,228,350","4,574,392","3,751,375","555,845,044","79,217,233","524,304,023","11,552,004","3,229,061,362","3,666,155,352","6,436,000,000",0.0281,0.0331,0.0026,0.0015,0.0098,0.0751,0,0,0,0,0,0.1798,0.0146,0,0,0,0.0001,0.0099,0.2044,0.0036,0.0428,0.0807,0.1271,0,0.2566,0.0057,0.0292,0.0006,0.0033,0.0012,0.001,0.1516,0.0216,0.143,0.0032,0.8808,1.0238,0.5696,1.1
2005,Europe,"68,977,106","249,539,088","195,164,244","21,378,217","24,278,988","559,337,643",0,0,0,"2,123,463","2,123,463","39,933,303","6,691,863",0,0,"410,000",0,"4,195,351","51,230,517",0,0,"3,059,535","3,059,535","5,105","996,551","412,726",0,"61,087","2,178","17,648",0,"426,992","186,360","114,977,698","11,924,097","629,783,902","744,761,600","6,436,000,000",0.0926,0.3351,0.262,0.0287,0.0326,0.751,0,0,0,0.0029,0.0029,0.0536,0.009,0,0,0.0006,0,0.0056,0.0688,0,0,0.0041,0.0041,0,0.0013,0.0006,0,0.0001,0,0,0,0.0006,0.0003,0.1544,0.016,0.8456,1,0.1157,1.1
2005,Mideast,"1,798,732","4,861,634","9,773,642","10,740","1,792,749","18,237,497","5,222,943","31,654","21,102","33,726","5,309,425","297,361,142","93,682,310","1,415,383",0,"15,583,460",0,"112,400","408,154,695",0,0,"105,908","105,908","19,500","1,454,979","17,500",0,"152,950",0,0,0,0,"7,079,400","2,652,435","2,774,564","443,306,418","445,958,853","6,436,000,000",0.004,0.0109,0.0219,0,0.004,0.0409,0.0117,0.0001,0,0.0001,0.0119,0.6668,0.2101,0.0032,0,0.0349,0,0.0003,0.9152,0,0,0.0002,0.0002,0,0.0033,0,0,0.0003,0,0,0,0,0.0159,0.0059,0.0062,0.9941,1,0.0693,1.1
2005,West. Hem,"203,594,477","494,915,555","7,730,972","7,756,664","26,881,608","740,879,276","1,048,228","1,747,197","2,321,199","1,487,754","6,604,378","2,944,529","386,845",0,0,0,0,"1,190,198","4,521,572","858,297",0,"3,810,102","4,668,399","1,559,581","2,191,657","437,055","191,600","705,878","64,811","79,864","89,362","12,979,998","5,830,711","94,709,150","9,231,306","790,035,448","875,196,370","6,436,000,000",0.2326,0.5655,0.0088,0.0089,0.0307,0.8465,0.0012,0.002,0.0027,0.0017,0.0075,0.0034,0.0004,0,0,0,0,0.0014,0.0052,0.001,0,0.0044,0.0053,0.0018,0.0025,0.0005,0.0002,0.0008,0.0001,0.0001,0.0001,0.0148,0.0067,0.1082,0.0105,0.9027,1.0109,0.136,1.1
2010,Africa,"143,752,568","165,943,467","38,254,839","38,701,490","73,353,476","460,005,841",0,0,0,"106,121","106,121","234,059,830","12,052,097",0,0,0,0,"292,545","246,404,472",0,0,"224,181","224,181",951,"2,347,387","74,969",0,"1,183,246",62,"91,857","20,009","97,374","77,615,288","8,889,456","2,431,187","790,602,945","799,492,401","6,839,000,000",0.1798,0.2076,0.0478,0.0484,0.0918,0.5754,0,0,0,0.0001,0.0001,0.2928,0.0151,0,0,0,0,0.0004,0.3082,0,0,0.0003,0.0003,0,0.0029,0.0001,0,0.0015,0,0.0001,0,0.0001,0.0971,0.0111,0.003,0.9889,1,0.1169,1.1
2010,Asia,"109,770,301","129,766,537","9,690,172","5,059,090","33,635,763","287,921,863",0,0,0,"123,356","123,356","707,062,171","59,850,462",0,0,0,"500,000","37,344,203","804,756,836","14,043,532","165,612,816","299,264,578","478,920,926","94,666","1,008,830,303","22,509,620","108,029,951","2,580,737","9,860,014","4,915,980","3,873,075","578,913,544","81,146,609","541,453,380","7,479,196","3,399,956,676","3,857,553,138","6,839,000,000",0.0285,0.0336,0.0025,0.0013,0.0087,0.0746,0,0,0,0,0,0.1833,0.0155,0,0,0,0.0001,0.0097,0.2086,0.0036,0.0429,0.0776,0.1242,0,0.2615,0.0058,0.028,0.0007,0.0026,0.0013,0.001,0.1501,0.021,0.1404,0.0019,0.8814,1.0217,0.5641,1.1
2010,Europe,"65,717,165","244,246,870","201,589,183","19,997,856","26,126,910","557,677,984",0,0,0,"1,378,063","1,378,063","36,050,392","8,609,112",0,0,"500,000",0,"6,063,207","51,222,711",0,0,"1,556,416","1,556,416","4,404","1,125,071","490,470",0,"48,120","4,320","20,000",0,"548,795","232,716","130,820,732","8,937,855","623,246,925","754,067,657","6,839,000,000",0.0872,0.3239,0.2673,0.0265,0.0346,0.7396,0,0,0,0.0018,0.0018,0.0478,0.0114,0,0,0.0007,0,0.008,0.0679,0,0,0.0021,0.0021,0,0.0015,0.0007,0,0.0001,0,0,0,0.0007,0.0003,0.1735,0.0119,0.8265,1,0.1103,1.1
2010,Mideast,"2,115,645","5,126,980","10,901,720","16,767","1,652,685","19,813,797","5,517,567","33,439","22,293","31,200","5,604,499","340,953,009","102,299,489","1,606,195",0,"3,608,974",0,"152,400","448,620,067",0,0,"142,503","142,503",0,"2,284,384","19,000",0,"362,367",0,0,0,0,"8,025,046","3,612,800","2,808,574","487,680,237","491,293,037","6,839,000,000",0.0043,0.0104,0.0222,0,0.0034,0.0403,0.0112,0.0001,0,0.0001,0.0114,0.694,0.2082,0.0033,0,0.0073,0,0.0003,0.9131,0,0,0.0003,0.0003,0,0.0046,0,0,0.0007,0,0,0,0,0.0163,0.0074,0.0057,0.9926,1,0.0718,1.1
