dyad,statelno,statelab,statehno,statehab,year,land,sea,total,version
2040,2,"USA",40,"CUB",1915,0,1,1,3.1
2040,2,"USA",40,"CUB",1916,0,2,2,3.1
2040,2,"USA",40,"CUB",1917,0,2,2,3.1
2040,2,"USA",40,"CUB",1918,0,2,2,3.1
2040,2,"USA",40,"CUB",1919,0,2,2,3.1
2040,2,"USA",40,"CUB",1920,0,2,2,3.1
2040,2,"USA",40,"CUB",1921,0,2,2,3.1
2040,2,"USA",40,"CUB",1922,0,2,2,3.1
2040,2,"USA",40,"CUB",1923,0,2,2,3.1
2040,2,"USA",40,"CUB",1924,0,2,2,3.1
2040,2,"USA",40,"CUB",1925,0,2,2,3.1
2040,2,"USA",40,"CUB",1926,0,2,2,3.1
2040,2,"USA",40,"CUB",1927,0,2,2,3.1
2040,2,"USA",40,"CUB",1928,0,2,2,3.1
2040,2,"USA",40,"CUB",1929,0,2,2,3.1
2040,2,"USA",40,"CUB",1930,0,2,2,3.1
2040,2,"USA",40,"CUB",1931,0,2,2,3.1
2040,2,"USA",40,"CUB",1932,0,2,2,3.1
2040,2,"USA",40,"CUB",1933,0,2,2,3.1
2040,2,"USA",40,"CUB",1934,0,2,2,3.1
2040,2,"USA",40,"CUB",1935,0,2,2,3.1
2040,2,"USA",40,"CUB",1936,0,2,2,3.1
2040,2,"USA",40,"CUB",1937,0,2,2,3.1
2040,2,"USA",40,"CUB",1938,0,2,2,3.1
2040,2,"USA",40,"CUB",1939,0,2,2,3.1
2040,2,"USA",40,"CUB",1940,0,2,2,3.1
2040,2,"USA",40,"CUB",1941,0,2,2,3.1
2040,2,"USA",40,"CUB",1942,0,2,2,3.1
2040,2,"USA",40,"CUB",1943,0,2,2,3.1
2040,2,"USA",40,"CUB",1944,0,2,2,3.1
2040,2,"USA",40,"CUB",1945,0,2,2,3.1
2040,2,"USA",40,"CUB",1946,0,2,2,3.1
2040,2,"USA",40,"CUB",1947,0,2,2,3.1
2040,2,"USA",40,"CUB",1948,0,2,2,3.1
2040,2,"USA",40,"CUB",1949,0,2,2,3.1
2040,2,"USA",40,"CUB",1950,0,2,2,3.1
2040,2,"USA",40,"CUB",1951,0,2,2,3.1
2040,2,"USA",40,"CUB",1952,0,2,2,3.1
2040,2,"USA",40,"CUB",1953,0,2,2,3.1
2040,2,"USA",40,"CUB",1954,0,2,2,3.1
2040,2,"USA",40,"CUB",1955,0,2,2,3.1
2040,2,"USA",40,"CUB",1956,0,2,2,3.1
2040,2,"USA",40,"CUB",1957,0,2,2,3.1
2040,2,"USA",40,"CUB",1958,0,2,2,3.1
2040,2,"USA",40,"CUB",1959,0,2,2,3.1
2040,2,"USA",40,"CUB",1960,0,2,2,3.1
2040,2,"USA",40,"CUB",1961,0,2,2,3.1
2040,2,"USA",40,"CUB",1962,0,2,2,3.1
2040,2,"USA",40,"CUB",1963,0,2,2,3.1
2040,2,"USA",40,"CUB",1964,0,2,2,3.1
2040,2,"USA",40,"CUB",1965,0,2,2,3.1
2040,2,"USA",40,"CUB",1966,0,2,2,3.1
2040,2,"USA",40,"CUB",1967,0,2,2,3.1
2040,2,"USA",40,"CUB",1968,0,2,2,3.1
2040,2,"USA",40,"CUB",1969,0,2,2,3.1
2040,2,"USA",40,"CUB",1970,0,2,2,3.1
2040,2,"USA",40,"CUB",1971,0,2,2,3.1
2040,2,"USA",40,"CUB",1972,0,1,1,3.1
2040,2,"USA",40,"CUB",1973,0,1,1,3.1
2040,2,"USA",40,"CUB",1974,0,1,1,3.1
2040,2,"USA",40,"CUB",1975,0,1,1,3.1
2040,2,"USA",40,"CUB",1976,0,1,1,3.1
2040,2,"USA",40,"CUB",1977,0,1,1,3.1
2040,2,"USA",40,"CUB",1978,0,1,1,3.1
2040,2,"USA",40,"CUB",1979,0,1,1,3.1
2040,2,"USA",40,"CUB",1980,0,1,1,3.1
2040,2,"USA",40,"CUB",1981,0,1,1,3.1
2040,2,"USA",40,"CUB",1982,0,1,1,3.1
2040,2,"USA",40,"CUB",1983,0,1,1,3.1
2040,2,"USA",40,"CUB",1984,0,1,1,3.1
2040,2,"USA",40,"CUB",1985,0,1,1,3.1
2040,2,"USA",40,"CUB",1986,0,1,1,3.1
2040,2,"USA",40,"CUB",1987,0,1,1,3.1
2040,2,"USA",40,"CUB",1988,0,1,1,3.1
2040,2,"USA",40,"CUB",1989,0,1,1,3.1
2040,2,"USA",40,"CUB",1990,0,1,1,3.1
2040,2,"USA",40,"CUB",1991,0,1,1,3.1
2040,2,"USA",40,"CUB",1992,0,1,1,3.1
2040,2,"USA",40,"CUB",1993,0,1,1,3.1
2040,2,"USA",40,"CUB",1994,0,1,1,3.1
2040,2,"USA",40,"CUB",1995,0,1,1,3.1
2040,2,"USA",40,"CUB",1996,0,1,1,3.1
2040,2,"USA",40,"CUB",1997,0,1,1,3.1
2040,2,"USA",40,"CUB",1998,0,1,1,3.1
2040,2,"USA",40,"CUB",1999,0,1,1,3.1
2040,2,"USA",40,"CUB",2000,0,1,1,3.1
2040,2,"USA",40,"CUB",2001,0,1,1,3.1
2040,2,"USA",40,"CUB",2002,0,1,1,3.1
2040,2,"USA",40,"CUB",2003,0,1,1,3.1
2040,2,"USA",40,"CUB",2004,0,1,1,3.1
2040,2,"USA",40,"CUB",2005,0,1,1,3.1
2040,2,"USA",40,"CUB",2006,0,1,1,3.1
2040,2,"USA",40,"CUB",2007,0,1,1,3.1
2040,2,"USA",40,"CUB",2008,0,1,1,3.1
2040,2,"USA",40,"CUB",2009,0,1,1,3.1
2040,2,"USA",40,"CUB",2010,0,1,1,3.1
2040,2,"USA",40,"CUB",2011,0,1,1,3.1
2040,2,"USA",40,"CUB",2012,0,1,1,3.1
2040,2,"USA",40,"CUB",2013,0,1,1,3.1
2040,2,"USA",40,"CUB",2014,0,1,1,3.1
2040,2,"USA",40,"CUB",2015,0,1,1,3.1
2040,2,"USA",40,"CUB",2016,0,1,1,3.1
2041,2,"USA",41,"HAI",1934,0,1,1,3.1
2041,2,"USA",41,"HAI",1935,0,1,1,3.1
2041,2,"USA",41,"HAI",1936,0,1,1,3.1
2041,2,"USA",41,"HAI",1937,0,1,1,3.1
2041,2,"USA",41,"HAI",1938,0,1,1,3.1
2041,2,"USA",41,"HAI",1939,0,1,1,3.1
2041,2,"USA",41,"HAI",1940,0,1,1,3.1
2041,2,"USA",41,"HAI",1941,0,1,1,3.1
2041,2,"USA",41,"HAI",1942,0,1,1,3.1
2041,2,"USA",41,"HAI",1943,0,1,1,3.1
2041,2,"USA",41,"HAI",1944,0,1,1,3.1
2041,2,"USA",41,"HAI",1945,0,1,1,3.1
